Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Customer Lifetime Value
1,2023-11-24,CUST001,male,34,beauty,3,50.0,150.0,2023,11,150.0
2,2023-02-27,CUST002,female,26,clothing,2,500.0,1000.0,2023,2,1000.0
3,2023-01-13,CUST003,male,50,electronics,1,30.0,30.0,2023,1,30.0
4,2023-05-21,CUST004,male,37,clothing,1,500.0,500.0,2023,5,500.0
5,2023-05-06,CUST005,male,30,beauty,2,50.0,100.0,2023,5,100.0
6,2023-04-25,CUST006,female,45,beauty,1,30.0,30.0,2023,4,30.0
7,2023-03-13,CUST007,male,46,clothing,2,25.0,50.0,2023,3,50.0
8,2023-02-22,CUST008,male,30,electronics,4,25.0,100.0,2023,2,100.0
9,2023-12-13,CUST009,male,63,electronics,2,300.0,600.0,2023,12,600.0
10,2023-10-07,CUST010,female,52,clothing,4,50.0,200.0,2023,10,200.0
11,2023-02-14,CUST011,male,23,clothing,2,50.0,100.0,2023,2,100.0
12,2023-10-30,CUST012,male,35,beauty,3,25.0,75.0,2023,10,75.0
13,2023-08-05,CUST013,male,22,electronics,3,500.0,1500.0,2023,8,1500.0
14,2023-01-17,CUST014,male,64,clothing,4,30.0,120.0,2023,1,120.0
15,2023-01-16,CUST015,female,42,electronics,4,500.0,2000.0,2023,1,2000.0
16,2023-02-17,CUST016,male,19,clothing,3,500.0,1500.0,2023,2,1500.0
17,2023-04-22,CUST017,female,27,clothing,4,25.0,100.0,2023,4,100.0
18,2023-04-30,CUST018,female,47,electronics,2,25.0,50.0,2023,4,50.0
19,2023-09-16,CUST019,female,62,clothing,2,25.0,50.0,2023,9,50.0
20,2023-11-05,CUST020,male,22,clothing,3,300.0,900.0,2023,11,900.0
21,2023-01-14,CUST021,female,50,beauty,1,500.0,500.0,2023,1,500.0
22,2023-10-15,CUST022,male,18,clothing,2,50.0,100.0,2023,10,100.0
23,2023-04-12,CUST023,female,35,clothing,4,30.0,120.0,2023,4,120.0
24,2023-11-29,CUST024,female,49,clothing,1,300.0,300.0,2023,11,300.0
25,2023-12-26,CUST025,female,64,beauty,1,50.0,50.0,2023,12,50.0
26,2023-10-07,CUST026,female,28,electronics,2,500.0,1000.0,2023,10,1000.0
27,2023-08-03,CUST027,female,38,beauty,2,25.0,50.0,2023,8,50.0
28,2023-04-23,CUST028,female,43,beauty,1,500.0,500.0,2023,4,500.0
29,2023-08-18,CUST029,female,42,electronics,1,30.0,30.0,2023,8,30.0
30,2023-10-29,CUST030,female,39,beauty,3,300.0,900.0,2023,10,900.0
31,2023-05-23,CUST031,male,44,electronics,4,300.0,1200.0,2023,5,1200.0
32,2023-01-04,CUST032,male,30,beauty,3,30.0,90.0,2023,1,90.0
33,2023-03-23,CUST033,female,50,electronics,2,50.0,100.0,2023,3,100.0
34,2023-12-24,CUST034,female,51,clothing,3,50.0,150.0,2023,12,150.0
35,2023-08-05,CUST035,female,58,beauty,3,300.0,900.0,2023,8,900.0
36,2023-06-24,CUST036,male,52,beauty,3,300.0,900.0,2023,6,900.0
37,2023-05-23,CUST037,female,18,beauty,3,25.0,75.0,2023,5,75.0
38,2023-03-21,CUST038,male,38,beauty,4,50.0,200.0,2023,3,200.0
39,2023-04-21,CUST039,male,23,clothing,4,30.0,120.0,2023,4,120.0
40,2023-06-22,CUST040,male,45,beauty,1,50.0,50.0,2023,6,50.0
41,2023-02-22,CUST041,male,34,clothing,2,25.0,50.0,2023,2,50.0
42,2023-02-17,CUST042,male,22,clothing,3,300.0,900.0,2023,2,900.0
43,2023-07-14,CUST043,female,48,clothing,1,300.0,300.0,2023,7,300.0
44,2023-02-19,CUST044,female,22,clothing,1,25.0,25.0,2023,2,25.0
45,2023-07-03,CUST045,female,55,electronics,1,30.0,30.0,2023,7,30.0
46,2023-06-26,CUST046,female,20,electronics,4,300.0,1200.0,2023,6,1200.0
47,2023-11-06,CUST047,female,40,beauty,3,500.0,1500.0,2023,11,1500.0
48,2023-05-16,CUST048,male,54,electronics,3,300.0,900.0,2023,5,900.0
49,2023-01-23,CUST049,female,54,electronics,2,500.0,1000.0,2023,1,1000.0
50,2023-08-24,CUST050,female,27,beauty,3,25.0,75.0,2023,8,75.0
51,2023-10-02,CUST051,male,27,beauty,3,25.0,75.0,2023,10,75.0
