review,sentiment
dont buy maharaja whiteline coolers they have cheap aluminum motors that are good for at max 2 years repair cost of these motors is so high that u would want to sell rather than repair them,negative
delivered the product on time but the demo was not done even after two weeks for which the amount is already deducted complaint was raised but they are dragging that will be done in 24 hours but many 24 48 hours have gone,negative
cooler body is very weak,negative
bad,negative
worst product fan speed very slowlike nothing,negative
air delivery is very bad not even cooling 10x13 room,negative
well bulid quality and excellent cooling air but the water pump is not that good,neutral
received dalay 10 days cooler is ok when i was reveived switch damaged,negative
first thing cooler is very silent at the lowest speed noise is minimal second all the other things is equivalent to 10 to 15000 price cooler,positive
not god air thorw not god quality not accepted,negative
more noise and some times lightly bad smell actually no proper cooling,negative
waste of money dont buy,negative
absolutely useless product please never buy it even after technician coming and checking that the product was not working still the exchange was not accepted a big scam by flipkart total disgrace,negative
this product does not cool as much as it was written in the advertisement i am not so happy with this product,negative
worst cooling normal table fan is better compared to this no cooling,negative
nice product but flipcart delayed the delivery 10 days,neutral
worst cooler ever poor cooling fan speed is too slow even my normal ceiling fan provides better air worst product from maharaja and flipkart sad part is they do not refund the money as well only replacement option is availablevery disappointed from flipkart,negative
dont buy this product within 15 year wind blade was broken and noise issue wind blow very low its better to go other brand,negative
good quality product cooling superb water filling only through water pipe nice design but no power main switch no direct power on off switch extra cooler stand required,neutral
defective product,negative
not that good that mentioned,negative
worst product dont waste your money,negative
very bad product totally vest of money,negative
nice products but one problem brod size,neutral
maharaja cooler very poor colety,negative
good bt without wheel or stand very difficult to move,neutral
no quality product 1 the wood wool has started falling out from the next day2 out of two led indicator has found not working on arrival3 the air swinger is already giving noise when moving which never used to be in my old cooler which i am using since 3 years4 the quality is no way machine to branded coolers5 anti bacterial tank has been bacterial now as there is no way to clean it so congested to maintain it cleanlyin my way think before you buyac has option to aut,negative
no doubt it is good in this price,positive
bad product do not buy it,negative
dont buy any one,negative
very bad product,negative
not worthy,negative
water inlet is not good,negative
this cooler is not cooling the room,negative
ok,neutral
nice cooling nice products but body isnt properly fit,neutral
too big,neutral
average got smell using 2 times after filling water,neutral
till now its good rest well see,positive
too much big size,neutral
product is not same as shown in figure,neutral
average production,neutral
large in size,neutral
cooler is average fan speed is high which cause a little bit noise but youll get use to it cooling is ok depend on weather not water in the tankthe worst thing is no wheels,neutral
normal dont expect more,neutral
performance reduced after 2 months,neutral
over all seems to good but have some drawbacks too i sprays water out very high in high mode also we found some bad smell with in a week of usage,neutral
big cooler but speed is average,neutral
it is suitable for 1 man only,neutral
speed is very slow,neutral
its ok,neutral
cooling very late n water will come slowly,neutral
heavy noise as you people its not cooling within 15 to mins even after after opening the window two sides,negative
overall very good but with warranty of only 3 month,neutral
average,neutral
cooler is good but only auto swing is not working,neutral
product is good but its parts are fixed loosely it is very difficult to open the cooler to remove old stock water,neutral
it is ok,neutral
cooler is jabardast but not honeycomb pad,neutral
ok,neutral
